id,nombre,genero,desarrolladores,publicadores,fecha_lanzamiento
64,Alien Escape,Puzzle,Korion,Korion,"July 12, 2019"
65,Alien: Isolation,Survival horror,Creative Assembly,Sega,"December 5, 2019"
66,All-Star Fruit Racing,Kart racing,3D Clouds,"JP: Circle Entertainment, WW: PQube","August 21, 2018"
67,The Alliance Alive HD Remastered,Role-playing,Cattle Call,"JP: FuRyu, WW: NIS America","October 8, 2019"
68,Almost There: The Platformer,"Action-adventure, platformer",The Quantum Astrophysicists Guild,The Quantum Astrophysicists Guild,"February 21, 2019"
69,Alpha,Action,Kaname,Kaname,"April 18, 2019"
70,Alteric,Platformer,Goonswarm,Sometimes You,"March 30, 2018"
71,Alternate Jake Hunter: Daedalus The Awakening of Golden Jazz,Adventure,Neilo,Arc System Works,"May 23, 2019"
72,Alwa’s Awakening,Platformer,Elden Pixels,Elden Pixels,"September 27, 2018"
73,Amazing Brick Breaker,Arcade,Cyberfront Korea,CFK,"November 28, 2019"
74,Ambition of the Slimes,"Turn-based strategy, role-playing",Altairworks,Flyhigh Works,"January 18, 2018"
75,American Fugitive,Action role-playing,Fallen Tree Games,Curve Digital,"May 23, 2019"
76,American Ninja Warrior Challenge,Action,GameMill Entertainment,GameMill Entertainment,"March 19, 2019"
77,Among the Sleep: Enhanced Edition,"Survival horror, action-adventure",Krillbite Studio,Soedesco,"May 29, 2019"
78,Anarcute,"Action, strategy",Anarteam,"JP: Digital Bards, WW: Plug In Digital","May 30, 2019"
79,Ancient Rush 2,Role-playing,Heideland GameWork,Heideland GameWork,"February 1, 2019"
80,Angels of Death,Adventure,Hoshikuzu KRNKRN,Playism,"June 28, 2018"
81,Angry Bunnies: Colossal Carrot Crusade,Third-person shooter,YFC Games,YFC Games,"September 19, 2019"
82,Animal Crossing: New Horizons,Simulation,Nintendo EPD,Nintendo,"March 20, 2020"
83,Animal Fight Club,Strategy,Marco Amadei,Corvostudio di Amadei Marco,"July 26, 2019"
84,Animal Rivals,"Action, platformer",,Blue Sunset Games,"July 18, 2018"
85,Animated Jigsaws: Beautiful Japanese Scenery,Puzzle,Dico,Rainy Frog,"April 5, 2018"
86,Animated Jigsaws: Japanese Women,Puzzle,Dico,Rainy Frog,"October 4, 2018"
87,Animus: Stand Alone,Action role-playing,Tenbirds,Bandai Namco,"January 3, 2019"
88,Anonymous;Code,Visual novel,5pb.,5pb.,Unreleased
89,Another Eden,Role-playing,Wright Flyer Studios,Wright Flyer Studios,Unreleased
90,Another Lost Phone: Laura's Story,Puzzle,"Accidental Queens, Seaven Studio",Plug In Digital,"April 26, 2018"
91,Another Sight,Adventure,Lunar Great Wall Studios,Lunar Great Wall Studios,"June 28, 2019"
92,Another World,Platformer,Dotemu,Dotemu,"July 9, 2018"
93,Antiquia Lost,Role-playing,Exe Create,Kemco,"November 16, 2017"
94,Aokana: Four Rhythm Across the Blue,Visual novel,Sprite,Sprite,TBA
95,Ape Out,Action,Gabe Cuzzillo,Devolver Digital,"February 28, 2019"
96,Aperion Cyberstorm,Twin-stick shooter,,aPriori Digital,"February 8, 2018"
97,Apocryph: An Old-School Shooter,Shooter,Bigzur Games,Bigzur Games,"March 14, 2019"
98,Aqua Kitty UDX,Shoot 'em up,Tikipod,Tikipod,"February 15, 2018"
99,Aqua Moto Racing Utopia,Racing,Zordix,Bigben Interactive,"April 27, 2018"
100,Aragami: Shadow Edition,Action-adventure,Lince Works,Merge Games,"February 21, 2019"
101,Arc of Alchemist,Action role-playing,Compile Heart,Idea Factory,"January 30, 2020"
102,Arcade Classics Anniversary Collection,Action,Konami,Konami,"April 18, 2019"
103,Arcade Love: Plus Pengo!,Action,Triangle Service,Mebius,Unreleased
104,Arena of Valor,Multiplayer online battle arena,Tencent,Tencent,"September 25, 2018"
105,Ark: Survival Evolved,Survival,Studio Wildcard,Studio Wildcard,"November 30, 2018"
106,Armello,"Board game, role-playing",League of Geeks,League of Geeks,"September 27, 2018"
107,Arms,Fighting,Nintendo EPD,Nintendo,"June 16, 2017"
108,Art of Balance,Puzzle,Shin'en Multimedia,Shin'en Multimedia,"October 4, 2018"
109,Ary and the Secret of Seasons,Adventure,"eXiin, Fishing Cactus",Modus Games,2020
110,Ascendance,Platformer,Onevision Games,Onevision Games,"May 9, 2019"
111,Asdivine Dios,Role-playing,Exe Create,Kemco,"July 4, 2019"
112,Asdivine Hearts,Role-playing,Exe Create,Kemco,"April 12, 2018"
113,Asdivine Hearts II,Role-playing,Exe Create,Kemco,"January 24, 2019"
114,Asdivine Kamura,Role-playing,Exe Create,Kemco,"November 7, 2019"
115,Asdivine Menace,Role-playing,Exe Create,Kemco,"September 5, 2019"
116,Ashen,Action role-playing,A44 Games,Annapurna Interactive,"December 9, 2019"
117,Asphalt 9: Legends,Racing,Gameloft Barcelona,Gameloft,"October 8, 2019"
118,Assassin's Creed III Remastered,Action-adventure,Ubisoft Montreal,Ubisoft,"May 21, 2019"
119,Assassin's Creed Odyssey,Action role-playing,Ubisoft Quebec,Ubisoft,Unreleased
120,Assassin's Creed: The Rebel Collection,Action role-playing,Ubisoft Montreal,Ubisoft,"December 6, 2019"
121,Assault Android Cactus+,Shooter,Witch Beam,Witch Beam,"March 8, 2019"
122,Asterix & Obelix XXL 2: Mission: Las Vegum,Action-adventure,Microids,Osome Studio,"November 29, 2018"
123,Asterix & Obelix XXL 3: The Crystal Menhir,Action-adventure,Microids,Microids,"November 21, 2019"
124,Astral Chain,Action,PlatinumGames,Nintendo,"August 30, 2019"
125,Astro Bears Party,Party,QubicGames,QubicGames,"September 28, 2017"
126,Astro Duel Deluxe,Shoot 'em up,Panic Button,Panic Button,"May 30, 2017"
127,At Sundown: Shots in the Dark,Shooter,Mild Beast Games,Versus Evil,"January 22, 2019"
128,Atari Flashback Classics,Arcade,Atari,Atari,"December 13, 2018"
129,Atelier Dusk Series Deluxe Pack,Role-playing,Gust Co. Ltd.,Koei Tecmo,"January 14, 2020"
130,Atelier Lulua: The Scion of Arland,Role-playing,Gust Co. Ltd.,Koei Tecmo,"May 21, 2019"
131,Atelier Lydie & Suelle: The Alchemists and the Mysterious Paintings,Role-playing,Gust Co. Ltd.,Koei Tecmo,"March 27, 2018"
132,Atelier Meruru: The Apprentice of Arland,Role-playing,Gust Co. Ltd.,Koei Tecmo,"December 4, 2018"
133,Atelier Rorona: The Alchemist of Arland,Role-playing,Gust Co. Ltd.,Koei Tecmo,"December 4, 2018"
134,Atelier Ryza: Ever Darkness & the Secret Hideout,Role-playing,Gust Co. Ltd.,Koei Tecmo,"October 29, 2019"
135,Atomik: RunGunJumpGun,Platformer,thirtythreegames,Gambitious,"February 8, 2018"
136,Atomine,Role-playing,Broken Arms Games,MixedBag,"May 25, 2018"
137,Attack on Titan 2,Hack and slash,Omega Force,Koei Tecmo,"March 20, 2018"
138,Attack on Titan 2: Final Battle,Hack and slash,Omega Force,Koei Tecmo,"July 5, 2019"
139,Attack of the Toy Tanks,"Action, arcade",Petite Games,Ratalaika Games,"June 28, 2019"
140,Auto Chess,Strategy,Dragonest,Dragonest,2020
141,Automachef,Puzzle,Hermes Interactive,Team17,"July 23, 2019"
142,Aviary Attorney: Definitive Edition,Adventure,Sketchy Logic,Vertical Reach,"January 30, 2020"
143,AVICII Invector,Rhythm,Hello There,Wired Productions,2020
144,Away: Journey to the Unexpected,Roguelike,Aurelien Regard,"JP: Circle Entertainment, WW: Playdius Entertainment","February 7, 2019"
145,Awesome Pea,Puzzle,Sometimes You,Sometimes You,"March 1, 2019"
146,Axiom Verge,Metroidvania,Thomas Happ Games,BadLand Games,"October 5, 2017"
147,Axiom Verge 2,Metroidvania,Thomas Happ Games,Thomas Happ Games,2020
148,Ayakashi Koi Gikyoku: Forbidden Romance with Mysterious Spirit,Simulation,OperaHouse Corporation,Digimerce,"August 2, 2018"
149,Azkend 2: The World Beneath,Puzzle,,10tons,"January 12, 2018"
150,Azure Reflections,Bullet hell,,Unties,"August 30, 2018"
151,Azure Saga: Pathfinder Deluxe Edition,Role-playing,Toge Productions,Toge Productions,"March 21, 2019"
152,Azure Striker Gunvolt: Striker Pack,Action,Inti Creates,Inti Creates,"August 31, 2017"
153,Baba Is You,Puzzle,Hempuli,Hempuli,"March 13, 2019"
154,Back in 1995,Survival horror,Ratalaika Games,Ratalaika Games,"May 23, 2019"
155,Bad Dream: Fever,Adventure,Forever Entertainment,Forever Entertainment,"March 14, 2019"
156,Bad North,"Real-time strategy, roguelike",Plausible Concept,Raw Fury,"August 20, 2018"
157,BAFL: Brakes Are for Losers,Racing,Oudidon,Playdius Entertainment,"April 19, 2018"
158,Bake 'N Switch,Party,Streamline Games,Streamline Games,2020
159,Bakutsuri Hunters,Sports,Bandai Namco Studios,Bandai Namco Entertainment,Unreleased
160,Baldur's Gate: Enhanced Edition,Role-playing,Beamdog,Skybound Games,"October 15, 2019"
161,Baldur's Gate II: Enhanced Edition,Role-playing,Beamdog,Skybound Games,"October 15, 2019"
162,Baldur's Gate: Siege of Dragonspear,Role-playing,Beamdog,Skybound Games,"September 24, 2019"
163,Balthazar's Dream,Platformer,Dolores Entertainment,Dolores Entertainment,"November 14, 2019"
164,Ball Attraction,Adventure,Rising Win Tech,Rising Win Tech,"September 19, 2019"
165,The Banner Saga,Role-playing,Stoic Studio,Versus Evil,"May 17, 2018"
166,The Banner Saga 2,Role-playing,Stoic Studio,Versus Evil,"June 7, 2018"
167,The Banner Saga 3,Role-playing,Stoic Studio,Versus Evil,"July 26, 2018"
168,Baobabs Mausoleum Ep.1: Ovnifagos Don't Eat Flamingos,"Adventure, point and click",Celery Emblem,Zerouno Games,"May 24, 2018"
169,Baobabs Mausoleum Ep.2: 1313 Barnabas Dead End Drive,Adventure,Celery Emblem,Zerouno Games,"June 27, 2019"
170,Barbarous: Tavern of Emyr,Adventure,SQRT3,QubicGames,"December 25, 2019"
171,Bard's Gold,Platformer,Pixel Lantern,Pixel Lantern,"March 5, 2019"
172,Baseball Riot,"Puzzle, sports",10tons,10tons,"January 19, 2018"
173,Bass Pro Shops: The Strike Championship Edition,Sports,Saber Interactive,Planet Entertainment,"October 23, 2018"
174,Bastion,Puzzle,Supergiant Games,Supergiant Games,"September 13, 2018"
175,Batman: The Enemy Within,Adventure,,Telltale Games,"October 2, 2018"
176,Batman: The Telltale Series,Adventure,Telltale Games,Telltale Games,"November 14, 2017"
177,Battery Jam,Action,Halseo,Halseo,"November 22, 2018"
178,Battlezone: Gold Edition,Shooter,Rebellion Developments,Rebellion Developments,"November 8, 2018"
179,Battle Chasers: Nightwar,Role-playing,,THQ Nordic,"May 15, 2018"
180,Battle Chef Brigade,Action role-playing,Trinket Studios,Adult Swim Games,"November 20, 2017"
181,Battle & Crash,Arcade,Sims,Starsign,"July 18, 2019"
182,Battle Group 2,Strategy,Merge Games,Merge Games,"October 11, 2018"
183,Battle Princess Madelyn,Platformer,Causal Bit Games,Causal Bit Games,"December 20, 2018"
184,Battle Worlds: Kronos,Turn-based strategy,King Art,THQ Nordic,"June 11, 2019"
185,Battlloon,Party,noname studio,Sony Music Entertainment,"February 28, 2019"
186,Bayala: The Game,Adventure,Ink Stains Games,HypeTrain Digital,"March 5, 2019"
187,Bayonetta,Hack and slash,PlatinumGames,Nintendo,"February 16, 2018"
188,Bayonetta 2,Hack and slash,PlatinumGames,Nintendo,"February 16, 2018"
189,Bayonetta 3,Hack and slash,PlatinumGames,Nintendo,TBA
190,Beach Buggy Racing,Kart racing,Vector Unit,Vector Unit,"September 14, 2017"
191,Bear With Me,"Adventure, point and click",Exordium Games,Exordium Games,"July 9, 2019"
192,Bear With Me: The Lost Robots,"Adventure, point and click",Exordium Games,Exordium Games,"July 31, 2019"
193,Beast Quest,Action role-playing,Torus Games,Maximum Games,"October 11, 2019"
194,Beat Cop,Adventure,Michael Hicks,11 Bit Studios,"March 5, 2019"
195,Bee Simulator,Simulation,Varsav Games,Varsav Games,"November 14, 2019"
196,Bendy and the Ink Machine,Survival horror,TheMeatly Games,Rooster Teeth Games,"November 20, 2018"
197,Best Friend Forever,Simulation,Steve Jackson Games,Asmodee,"February 14, 2020"
198,Beyblade Burst Battle Zero,Action,FuRyu,FuRyu,Unreleased
199,Beyond Enemy Lines: Covert Operations,First-person shooter,Polygon Art,Polygon Art,"April 23, 2019"
200,Beyond a Steel Sky,Adventure,Revolution Software,Revolution Software,2020
76,American Ninja Warrior Challenge,Action,GameMill Entertainment,GameMill Entertainment,"March 19, 2019"
132,Atelier Meruru: The Apprentice of Arland,Role-playing,Gust Co. Ltd.,Koei Tecmo,"December 4, 2018"
166,The Banner Saga 2,Role-playing,Stoic Studio,Versus Evil,"June 7, 2018"
62,Alchemic Dungeons DX,Roguelike,Q-Cumber Factory,Flyhigh Works,"February 14, 2019"
176,Batman: The Telltale Series,Adventure,Telltale Games,Telltale Games,"November 14, 2017"
104,Arena of Valor,Multiplayer online battle arena,Tencent,Tencent,"September 25, 2018"
94,Aokana: Four Rhythm Across the Blue,Visual novel,Sprite,Sprite,TBA
193,Beast Quest,Action role-playing,Torus Games,Maximum Games,"October 11, 2019"
40,Ace of Seafood,Shoot 'em up,Nussoft,Nussoft,"February 22, 2018"
56,Agony,Survival horror,Madmind Studio,Forever Entertainment,"October 31, 2019"
63,Alien Cruise,Adventure,Cotton Game,Orenda,"March 14, 2019"
107,Arms,Fighting,Nintendo EPD,Nintendo,"June 16, 2017"
182,Battle Group 2,Strategy,Merge Games,Merge Games,"October 11, 2018"
186,Bayala: The Game,Adventure,Ink Stains Games,HypeTrain Digital,"March 5, 2019"
25,8-Ball Pocket,Sports,Super PowerUp Games,Super PowerUp Games,"December 25, 2019"
23,6180 the moon,Platformer,"Turtle Cream, PokPoong Games",Turtle Cream,"May 24, 2018"
192,Bear With Me: The Lost Robots,"Adventure, point and click",Exordium Games,Exordium Games,"July 31, 2019"
42,Achtung! Cthulhu Tactics,Tactical role-playing,Auroch Digital,Ripstone,"January 24, 2019"
124,Astral Chain,Action,PlatinumGames,Nintendo,"August 30, 2019"
78,Anarcute,"Action, strategy",Anarteam,"JP: Digital Bards, WW: Plug In Digital","May 30, 2019"
